sr_at_1,sr_at_10,policy_tpr,policy_fpr,switches,privacy_required_n,privacy_not_required_n,privacy_tp,privacy_fp,privacy_fn,privacy_tn,scenario_id,seed,variant
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,baseline_naive
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,baseline_react_like
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,ours_modular
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,no_tom
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,no_cf
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,0,no_profiler
0.0,1.0,0.0,0.15,0,0,20,0,3,0,17,C1_silent_desk,0,no_policies
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,baseline_naive
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,baseline_react_like
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,ours_modular
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,no_tom
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,no_cf
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C1_silent_desk,1,no_profiler
0.0,1.0,0.0,0.15,0,0,20,0,3,0,17,C1_silent_desk,1,no_policies
0.1,0.65,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,baseline_naive
0.7,1.0,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,baseline_react_like
0.7,1.0,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,ours_modular
0.7,1.0,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,no_tom
0.7,1.0,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,no_cf
0.65,1.0,0.0,0.0,6,0,20,0,0,0,20,C2_walk_outdoor,0,no_profiler
0.55,0.9,0.0,0.15,0,0,20,0,3,0,17,C2_walk_outdoor,0,no_policies
0.3,0.85,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,baseline_naive
0.8,1.0,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,baseline_react_like
0.7,0.9,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,ours_modular
0.75,0.95,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,no_tom
0.8,1.0,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,no_cf
0.7,1.0,0.0,0.0,7,0,20,0,0,0,20,C2_walk_outdoor,1,no_profiler
0.7,0.9,0.0,0.15,0,0,20,0,3,0,17,C2_walk_outdoor,1,no_policies
0.0,0.0,0.0,0.0,1,20,0,0,0,20,0,C3_meeting_privacy,0,baseline_naive
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,0,baseline_react_like
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,0,ours_modular
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,0,no_tom
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,0,no_cf
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,0,no_profiler
0.0,0.0,0.0,0.0,0,20,0,0,0,20,0,C3_meeting_privacy,0,no_policies
0.0,0.0,0.0,0.0,1,20,0,0,0,20,0,C3_meeting_privacy,1,baseline_naive
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,1,baseline_react_like
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,1,ours_modular
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,1,no_tom
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,1,no_cf
1.0,1.0,1.0,0.0,1,20,0,20,0,0,0,C3_meeting_privacy,1,no_profiler
0.0,0.0,0.0,0.0,0,20,0,0,0,20,0,C3_meeting_privacy,1,no_policies
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,baseline_naive
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,baseline_react_like
0.45,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,ours_modular
0.55,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,no_tom
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,no_cf
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,no_profiler
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,0,no_policies
0.0,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,baseline_naive
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,baseline_react_like
0.45,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,ours_modular
0.45,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,no_tom
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,no_cf
0.5,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,no_profiler
0.6,1.0,0.0,0.0,0,0,20,0,0,0,20,C5_unknown_interlocutor,1,no_policies
